rot,action,situation,ssl_domain,agreement_condition,rot-agree,action-moral-judgment,agreement_label,area,personal_valid
It is good to support a friend getting help for past trauma.,supporting a friend getting help for past trauma.,"Bullied a lot as a kid and now I'm a dysfunctional, angry adult",personal-psychological,high_agreement,3,1,75-90%,confessions,1
It's not okay to not know your true feelings.,not knowing your true feelings.,Confused with my love life.,personal-psychological,high_agreement,3,0,75-90%,confessions,1
You should do what you can to maintain a relationship with a girlfriend.,doing what you can to maintain a relationship with a girlfriend.,Today I lost my girlfriend my wallet and my job,personal-psychological,high_agreement,3,0,75-90%,confessions,1
You should get over self image problems.,getting over self image problems.,"I have self image problems, but know one to truely evaluate me because they all know about my past.",personal-psychological,high_agreement,4,0,>99%,confessions,1
You should tell your parent if they are being obnoxious.,telling your parent if they are being obnoxious.,asking my mom politely to stop singing,personal-psychological,high_agreement,3,0,75-90%,amitheasshole,1
You shouldn't get upset at a friend over video games.,getting upset at a friend over video games.,spereating myself from a friend because of Playstation drama,personal-psychological,high_agreement,3,-1,75-90%,amitheasshole,1
It is good to give your child things that make them happy.,giving your child things that make them happy.,"When I was 18, I was depressed and cried until my mommy and daddy let me get a nose job",personal-psychological,high_agreement,4,1,>99%,confessions,1
It becomes necessary to own a personal vehicle when public transportation is limited.,owning a personal vehicle when public transportation is limited.,So she decided to she would only use public transportation.,personal-psychological,high_agreement,3,2,75-90%,rocstories,1
You shouldn't put too much faith in people's identity online because they may be misrepresenting themselves.,putting too much faith in people's identity online when they may be misrepresenting themselves.,"Just had a huge argument with my mum, throwaway account",personal-psychological,high_agreement,3,0,75-90%,confessions,1
You shouldn't brag about cheating on a girlfriend.,bragging about cheating on a girlfriend.,I tried to cheat on my girlfriend,personal-psychological,high_agreement,4,-1,>99%,confessions,1
You should thank your parent for trying to form a relationship with your partner.,thank your parent for trying to form a relationship with your partner.,Mom Tries to Go the Distance to Connect With Son's Wife,personal-psychological,low_agreement,1,0,5-25%,dearabby,1
You should always try to mediate your parent's arguments.,always trying to mediate your parent's arguments.,Adult Should Play The Peacemaker In Parents' Ongoing War,personal-psychological,low_agreement,1,-1,5-25%,dearabby,1
"It is okay to not lend out your clothes at all, but it can lead to hurt feelings.",not lending out your clothes can lead to hurt feelings.,not letting my sister burrow my clothes,personal-psychological,low_agreement,1,-1,5-25%,amitheasshole,1
Sometimes it's better to lie to someone to spare their feelings than to be blunt.,lying to someone to spare their feelings rather than being blunt.,lying to break up with my ex,personal-psychological,low_agreement,1,1,5-25%,amitheasshole,1
It's okay to keep your pass private,keeping your pass private,I slept with her ex and she wants to be friends do I tell her?,personal-psychological,low_agreement,1,0,5-25%,confessions,1
It is good to deny an overweight child snacks.,denying an overweight child snacks.,not giving my overweight son a donut,personal-psychological,low_agreement,1,-1,5-25%,amitheasshole,1
It's bad to try to self diagnose health issues.,trying to self diagnose health issues.,I think I have Asperger's Syndrome,personal-psychological,low_agreement,1,-1,5-25%,confessions,1
You should always try to mediate your parent's arguments.,always trying to mediate your parent's arguments.,Adult Should Play The Peacemaker In Parents' Ongoing War,personal-psychological,low_agreement,1,0,5-25%,dearabby,1
You don't have to do anything with your girlfriend that you don't want to do.,having to do anything with your girlfriend that you don't want to do,not playing Minecraft with my girlfriend,personal-psychological,low_agreement,1,-1,5-25%,amitheasshole,1
It's okay to ask questions about your friend's new ear.,asking questions about your friend's new ear.,Soon Karin had a new ear and was playing happily with her friends.,personal-psychological,low_agreement,1,0,5-25%,rocstories,1
It is good to say what is on your mind.,saying what is on your mind.,saying what I said,personal-psychological,medium_agreement,2,1,50%,amitheasshole,1
It's okay to let your emotions show.,letting your emotions show,I have cried everyday for over 3 months.,personal-psychological,medium_agreement,2,0,50%,confessions,1
It's understandable if you're offended when your friend doesn't get you anything for your birthday.,being offended when your friend doesn't get you anything for your birthday.,not giving my friend a gift,personal-psychological,medium_agreement,2,0,50%,amitheasshole,1
You should be able to trust your roommate,being able to trust your roommate,I used to spy on my roommate while he showered,personal-psychological,medium_agreement,2,0,50%,confessions,1
It's okay to share personal information with others.,sharing personal information with others.,To get it off my chest,personal-psychological,medium_agreement,2,0,50%,confessions,1
You shouldn't change your personality to suit the person you are hanging out with.,changing your personality to suit the person you are hanging out with,I have a tendancy to change my behaviour and personality according to each persons preferences.,personal-psychological,medium_agreement,2,-1,50%,confessions,1
You should talk to a grief counselor when your sibling dies.,talking to a grief counselor when your sibling dies.,"Aunt's Death, Sister's Silence Deal Woman a Double Blow",personal-psychological,medium_agreement,2,1,50%,dearabby,1
It's bad to let your emotions control your life.,letting your emotions control your life.,I am scared in my new relationship,personal-psychological,medium_agreement,2,-1,50%,confessions,1
You shouldn't discuss personal issues with others during work.,discussing personal issues with others during work.,not consoling the choreographer who mentioned her deeply personal issue out of the blue in the middle of a rehearsal,personal-psychological,medium_agreement,2,-1,50%,amitheasshole,1
You should try to ignore your feelings when you're working and just let the work pour through you,trying to ignore your feelings when you're working and just letting the work pour through you,My work slowed to a sluggish pace and I couldn't focus at all.,personal-psychological,medium_agreement,2,1,50%,rocstories,1
